순번,표제어,대분류,영문,설명,출처,출처1,중분류
16135,펜타닐,기타,Fentanyl,"수술 후의 환자나 암환자의 통증 경감을 위해 널리 사용되는 아편 계열의 마취 및 진통제. 무능화작용제로 알려져 있다. 뇌 및 척수의 중추신경계에 있는 통증 신호 수용체에 결합함으로써 통증 신호의 전달을 차단하는 중추신경계 억제제이다. 저농도에서는 마약 도취감, 졸음, 동공축소, 메스꺼움 등의 증상을 보이며 고농도에서는 근육경직, 호흡곤란, 혼수상태의 증상을 일으킨다.",국방과학기술용어,국방과학기술용어사전,기타
16136,펜트리트,기타,Pentaerythritol Tetranitrate / Penthrite,충격과 마찰에 민감하고 전기 및 비전기 뇌관의 기본 장약과 도폭선 등에 사용되는 화합물.,국방과학기술용어,국방과학기술용어사전,기타
16137,펠리컨 훅,기타,Pelican Hook,지지색 등 각종 로프를 고정하는 데 사용하는 신속히 풀 수 있는 고리.,국방과학기술용어,국방과학기술용어사전,기타
16138,펨토셀,기타,Femtocell,"1,000조분의 1(10의-15 제곱)을 뜻하는 펨토(Femto)와 이동통신에서 1개 기지국이 담당하는 서비스 구역 단위를 뜻하는 셀(Cell)을 합친 것. 기존 이동 통신 서비스 반경보다 훨씬 작은 지역을 커버하는 서비스를 지칭한다.",국방과학기술용어,국방과학기술용어사전,기타
16139,펨토초 적응 분광학 기술,기타,Femtosecond Adaptive Spectroscopy Techniquies For Remote Agent Detection,"원거리에서 생물학 작용제를 탐지하기 위해 개발되는 장비에 적용되는 기술. 간섭 비선형 광학적 분광학, 레이저 펄스 형성 기술, 회신 신호를 최적화하기 위한 적응 제어 광학 기술이 적용된다.☜ FASTREAD(Femtosecond Adaptive Spectroscopy Techniquies For Remote Agent Detection)",국방과학기술용어,국방과학기술용어사전,기타
16140,"편, 건",행정공통,,"권 또는 책을 구성하는 논리적인 구분단위로서 한 건의 메타데이터 작성대상이 되는 것으로 현대간행물에서는 편, 고전적 자료에서는 건이라고 한다",KIMA,업무가이드북 - [pdf] 방산물자 계약 및 원가관계 법규,기타
16141,편각,행정공통,Deflection Angle / Drift Angle,"1. 트래버스에서 전 측선의 연장선과 다음 측선이 만드는 각. 즉 관측점(P)에 트랜싯을 세워서 전점(P-1)을 후시하고, 망원경을 반전해서 얻어지는 전 측선(P-1점과 P점이 만드는 선분)의 연장선을 기준으로 하여 다음 점(P+1)을 전시했을 때의 각을 측선(P점과 P+1점이 만드는 선분)의 편각이라 한다.  2. 나침반의 자침이 진남북으로부터 나침반의 자침이 기울어진 수평각. 자침이 가리키는 방향은 진남북이 아니라 어느 정도 서 또는 동쪽으로 치우쳐 있으며 이와같은 편각은 해마다 조금씩 달라진다. 3. 비행중 항공기 기체의 방향과 진행방향이 이루는 각이다.",과학기술용어사전,,군사용어
16142,편각 분산,기타,Lateral Spread,조명탄 사격 시 편의상 넓게 조명이 필요할 경우 실시하는 분산파열방법. 2문의 포가 편각 상으로 상이한 제원으로 사격함. ☜ LS(Lateral Spread),국방과학기술용어,국방과학기술용어사전,기타
16143,편광,기타,Polarization,"빛의 진동면, 즉 전기장과 자기장의 방향이 수직 또는 수평 방향과 같이 항상 일정한 평면에 한정되어 있는 상태.",국방과학기술용어,국방과학기술용어사전,기타
16144,편광각,기타,,☞ 브루스터 각(Brewster 角),국방과학기술용어,국방과학기술용어사전,기타
16145,편구배,기타,Cant,도로의 곡선부에서 바깥쪽을 안쪽보다 일정값만큼 높여 준 것. 철도 노선이나 도로의 곡선부를 주행하는 차량은 원심력 때문에 바깥쪽으로 떨어져 나가려고 한다. 이것을 방지하기 위하여서는 바깥쪽을 안쪽보다 높여 줄 필요가 있다. 편경사라고도 한다.,국방과학기술용어,국방과학기술용어사전,기타
16146,편대 비행,기타,Formation Flight,"두 대 이상의 항공기가 고도, 항법, 보고(reporting), 위치 등을 한 대의 항공기와 동일하게 취급하도록 인가된 비행.",국방과학기술용어,국방과학기술용어사전,기타
16147,편대 폭격,기타,Formation Bombing,지정된 점 또는 지역목표에 대하여 항공기 편대가 편대대형을 유지하며 폭탄을 투하하는 폭격 방법.,국방과학기술용어,국방과학기술용어사전,기타
16148,편대장,기타,Aircraft Commander,"편대 비행을 지휘·통솔하는 책임자. ☜ AC(Aircraft Commander), 항공기 편대장(航空機編隊長)",국방과학기술용어,국방과학기술용어사전,기타
16149,편람,행정공통,Hanbook,"1. 업무편람 / 직무편람 등 2. 사무를 맡아보는 사람에게 사무분장의 규정, 분과 분장의 규정 따위를 지시한 책자 3. (직업, 교육용 등의) 안내서, 입문서 4. (특수분야의) 참고서, 편람, 교본 5. 여러 가지 내용을 간략하게 추려엮은 작은 책자 6. 특별한 주제, 도구, 기계에 대한 지침이나 조언을 주는 것 7. 어떤 특정분야 또는 주제에 관한 참고용 서적 8. 한 분야의 모든 영역을 총 망라한 것으로 해당 분야의 어떤 사항을 찾아보는데 주로 사용되도록 편찬한 책 9. 경영 핸드북, 출판핸드북 등",KIMA,[pdf] 군수품 표준화 질의응답집,기타
16150,편류,기타,Drift,탄도 미사일 등이 비행 중 원래의 방향에서 틀어지는 현상. 편류는 회전하며 날아가는 비행체에 작용하는 자이로 효과에 의해 발생한다.,국방과학기술용어,국방과학기술용어사전,기타
16151,편류 수정각,기타,,"바람의 작용에 의하여 생긴 편류 현상을 없애고 예정 항로 위를 비행할 때, 항로와 항적(航跡)을 일치시키기 위하여 예정 항로의 진방위(眞方位)에 더하는 각도.",국방과학기술용어,국방과학기술용어사전,기타
16152,편류각,기타,,☞ 편각(偏角),국방과학기술용어,국방과학기술용어사전,기타
16153,편류계,기타,Drift Meter,편류각을 측정하는 계기. 이것으로 비행기 기수 방향과 실제 비행 방향과의 끼인각을 측정한다.,국방과학기술용어,국방과학기술용어사전,기타
16154,편류우,기타,,항적(航跡)의 연장부가 기수의 오른편에 있는 일.,국방과학기술용어,국방과학기술용어사전,기타
16155,편류좌,기타,,항적(航跡)의 연장부가 기수의 왼편에 있는 일.,국방과학기술용어,국방과학기술용어사전,기타
16156,편성,행정공통,Organization,"집단의 공동 목표를 달성하기 위하여 필요한 인원, 물자, 시설, 예산 등을 유기적으로 결합하고 조화시키는 과정. 즉 목적 달성을 위하여 소정의 편제를 취하는 것을 말한다.",과학기술용어사전,,군사용어
16157,편성 및 장비표,행정공통,Table Of Organization And Equipment,"군 단위 부대의 정상 임무, 편제 기구, 인원 및 장비 수량을 규정하고, 군부대 또는 해당 예하 부대에서 사용하는 인사 배치에 관한 지시에 따라 각기 소요수의 인원을 신청 및 제공하는 근거가 되며, 군본부로부터 별도 지시가 없는 한 각기 이에 규정된 일체 장비를 청구 및 지급할 때의 근거가 되는 표이다.",과학기술용어사전,,군사용어
16158,편성 부대 군수 자원 관리 전산 시스템,기타,Formation Resource Management System,"편성 부대 군수 자원 관리 전산 시스템은 편성 부대에서 전투 준비 태세에 필요한 군수 자원의 흐름인 청구, 수령, 불출, 정비 운영, 반납 등의 업무를 전산 처리로 업무의 효율성을 높여 군수 자원 관리 정보를 유지 활용하는 시스템이다. ☜ FRMS",국방과학기술용어,국방과학기술용어사전,기타
16159,편성 부대 보급,행정공통,Organizational Supply,"편성 부대 자체 보급품에 관하여 사용 부대에 의해서 인가 및 수행되는 보급 근무를 말한다. 이는 다음과 같은 보급 제 1단계 및 제 2단계를 결합한다. 제1단계는 부대 보급으로부터 인가된 최초 보충 보급품의 획득에 있어서 개인 사용자, 휴대자, 운용자에 의해서 수행되는 보급 단계이고, 제2단계는 부대급에서 인가된 최초 및 보충 보급품에 대한 획득, 분배 계산에 있어서 특별히 훈련되고 지정된 요원에 의해서 수행되는 보급 단계이다.",과학기술용어사전+국방부군수전력용어사전,,운영유지
16160,편성 인가 저장 목록,기타,,☞ 인가 저장 목록(認可貯藏目錄),국방과학기술용어,국방과학기술용어사전,기타
16161,편수,행정공통,Editing,"보급 거래에 있어 피지원부대가 보급 지원부대에게 필요로 하는 보급품에 대한 청구서를 제출하는데, 이때 지원부대에서 청구서에 기록된 각종 제원(부대, 문서 식별 번호, 재고 번호, 불출 단위, 수량 등)의 정확성 및 적절성을 심사하여 이를 타당하게 수정 조치를 취하는 것을 말한다. 보급 거래 행정이 거의 전산으로 처리되는 관계로 기계 처리 품목의 경우 컴퓨터에 의해 자동적으로 편수가 이루어진다. 이때 청구서의 내용에 이상이 있을 경우 착오 처리 혹은 취소 등의 조치가 취해지고 적절할 경우에는 불출 및 불출 예정 등으로 조치된다.",과학기술용어사전,,운영유지
16162,편의대,기타,Plain-clothes Corps,"책임 지역 내 침투하는 적을 탐지 색출하기 위해 그 지역의 환경에 맞도록 농민, 약초채취꾼, 행상, 나무꾼 등으로 가장하여 주민과 동일한 행동을 하는 임시 특별 부대.",국방과학기술용어,국방과학기술용어사전,기타
16163,편이,기타,Deviation,"주파수 변조(FM) 방식에서 입력 신호의 진폭에 대응한 반송파 주파수의 변화 정도. 신호의 진폭이 커질수록 편이가 커지고 진폭이 적을수록 편이는 작아진다. TV의 음성은 1kHz 0dB 신호에 대하여 ±25kHz 편이를 기준으로 하고, FM 방송은 1kHz 0dB 신호에 대하여 ±75kHz 편이가 기준이다. 진폭 변조(AM) 방식의 변조도와 대응된다.",국방과학기술용어,국방과학기술용어사전,기타
16164,편재성,기타,Ubiquity,"고도, 속도, 거리 특성에 의해 주어진 자원범위 내에서 다른 지표면 전력보다 훨씬 넓은 지역에 걸쳐 동시적으로 위협을 가할 수 있거나 그러한 위협에 대응할 수 있는 능력.",국방과학기술용어,국방과학기술용어사전,기타
16165,편제,행정공통,Organization,"1.부대 또는 기관의 임무 수행에 적합하도록 하부 조직에 대하여 임무 및 기능을 부여하고 부서 또는 부대를 편성하여 정원 및 장비의 책정과 지휘 관계 등을 정하는 것으로서 평시 편제와 전시 편제로 구분됨. 평시 편제는 평시 부대 임무 수행에 필요한 인원과 장비로서 규정된 상비군 편제로서 유사시 전시 편제 전환을 위한 근간이 된다.  전시 편제는 인력, 물자, 재정 및 가상 적국의 군사 상황 등 자국의 전쟁 지속 능력과 전술 상황을 고려한 전시 대비 편제이다. 2.개인을 편성하여 군대 또는 단체를 만든다는 뜻이다. 군사조직의 필수적인 부분을 조직하거나 할당한 것으로, 부대편성 및 장비표상의 표준 요소이다.",1.과학기술용어사전 2.국방부군수전력용어사전,,군사용어
16166,편제 병력,기타,Organization Strength,편제표상에 편성된 병력으로서 각군의 경우 정원에서 부수 병력을 감한 인원이며 각군 예하의 부대 또는 기관의 경우는 정원 그 자체.,국방과학기술용어,국방과학기술용어사전,기타
16167,편제 장비,기타,Organizational Equipment,편성 부대가 기본 임무를 수행하는데 필수적으로 소요되는 장비로서 장비 인가표에 인가된 장비.,국방과학기술용어,국방과학기술용어사전,기타
16168,편조,기타,Task Organization,지휘관이 전투 편성을 실시함에 있어서 한 특정 임무 또는 과업을 달성하기 위하여 특수하게 계획된 부대의 구성.,국방과학기술용어,국방과학기술용어사전,기타
16169,편주각,기타,Yaw Angle,탄자의 운동 방향과 탄자의 대칭축이 이루는 각.☜ YA(Yaw Angle),국방과학기술용어,국방과학기술용어사전,기타
16170,편차,기타,Deviation,"측정치와 기대치와의 차를 말하며, 편차의 종류에는 표준 편차, 평균 편차, 4분위 편차가 있다.",국방과학기술용어,국방과학기술용어사전,기타
16171,편차 거리-핵,기타,Offset Distance nuclear,지역 표적 또는 점 표적의 중심으로부터 요망 지상 원점 또는 실제 지상 원점에 이르는 거리.,국방과학기술용어,국방과학기술용어사전,기타
16172,편파성 페이딩,기타,Polarization Fading,전파가 지구자계 영향으로 타원편파가 되어 편파면이 시간적으로 회전함으로써 발생하는 페이딩.,국방과학기술용어,국방과학기술용어사전,기타
16173,편평 궤도,기타,Flat Trajectory,높은 속도의 비행체가 만들어 내는 곡률이 매우 적은 궤도.,국방과학기술용어,국방과학기술용어사전,기타
16174,편향력,기타,,☞ 코리올리 힘(Coriolis--),국방과학기술용어,국방과학기술용어사전,기타
16175,평가,행정공통,"Assessment, Evaluation",".중요성, 크기, 특성을 결정하는 업무 및 수집된 자료에 대한 가치부여 또는 평가업무. 사물의 가치나 수준 따위를 평한다.",KIMA(상호운용성),공군군사용어사전,기타
16176,평균 가용도,행정공통,Availability Mean,"수리 가능한 경우에 관측된 누적 시간에 대하여, 요구된 기능을 달성하는 것이 가능한 누적 시간의 비 혹은 임의의 몇 개의 시점에 있어서 동일한 관측 대상 중에서 요구된 기능을 달성하는 것이 가능한 비율의 평균이다.",과학기술용어사전,,운영유지
16177,평균 고장 간격 주기수,기타,Mean Cycles Between Failure,모집단을 구성하는 부품의 총 작동(functioning) 사이클 수를 동일 시간동안의 모집단의 총 고장수로 나눈 것. ☜ MCBF(Mean Cycles Between Failure),국방과학기술용어,국방과학기술용어사전,기타
16178,평균 고장 주기수,기타,Mean Cycles To Failure,총 작동 사이클 수를 동일 시간 동안의 총 고장수로 나눈 것.,국방과학기술용어,국방과학기술용어사전,기타
16179,평균 고장간 사격발수,행정공통,Mean Round Between Failure,"총 사격발수를 총 고장횟수로 나눈 값으로, 화포체계에 적용한다.",KIMA,ILS 개발 실무참고서,운영유지
16180,평균 고장간 시간,기타,,☞ 고장간 평균 시간(故障間平均時間),국방과학기술용어,국방과학기술용어사전,기타
16181,평균 고장간 운용시간,행정공통,Mean Time Between Failure,"수리 가능한 품목의 신뢰성 특성치를 표현하는 단위로, 총운용시간을 총고장횟수로 나눈 평균값이다.",KIMA,ILS 개발 실무참고서,운영유지
16182,평균 고장간 주행거리,행정공통,Mean Kilometer Between Failure,"총 주행거리를 총 고장횟수로 나눈 값으로 정의되며,엔진/변속기 등에 대한 고장률 값 산정 시 적용한다.",KIMA,ILS 개발 실무참고서,운영유지
16183,평균 고조 간격,기타,Mean High Water Interval,바다에서 어느 기간 동안 날마다 일어나는 고조 간격의 평균치.,국방과학기술용어,국방과학기술용어사전,기타
16184,평균 고조면,기타,High Water Ordinary Mean Tide,바다에서 평균 해수면을 넘는 고조면의 평균치. 대조 평균 고조면과 소조 평균 고조면이 있다.,국방과학기술용어,국방과학기술용어사전,기타
16185,평균 공력 시위,기타,Mean Aerodynamic Chord,항공기 날개 앞전에서 뒷전까지 평균 길이.,국방과학기술용어,국방과학기술용어사전,기타
16186,평균 교차율,기타,Average Crossing Rate,"측정된 신호의 크기가 양의 방향으로 증가할 때, 신호가 규정 레벨(규정이 없는 경우에는 ""0"")과 교차하는 평균율.",국방과학기술용어,국방과학기술용어사전,기타
16187,평균 보급 수준,행정공통,Average Level Of Supply,저장 수준 보충 기간 중에 분배소에 보유하여야 할 물자의 평균 수량을 말한다. 이것은 운용 수준의 1/2과 안전 수준의 합계로 구성된다.,과학기술용어사전+국방부군수전력용어사전,,운영유지
16188,평균 불가동 시간,행정공통,Mean Down Time,무기체계등의 정비도를 산출할 때 사용되는 시간 중 시스템이 가동될 수 없는 시간의 평균치를 말한다. 무기체계등에서 발생되는 불가동 시간은 정비 시간과 행정 및 군수 지연시간으로 구분할 수 있다. ☞ MDT(Mean Down Time),과학기술용어사전,,운영유지
16189,평균 소요 시간,기타,Mean Elasped Time,동시에 작업한 인원의 수에 관계없이 하나의 업무를 수행하는 데 소요된 평균 시간으로 군수 지연 시간은 미포함.,국방과학기술용어,국방과학기술용어사전,기타
16190,평균 수리시간,행정공통,Mean Time To Failure,"수리 불가능한 장비에 대한 신뢰성 특성치의 하나로 수리활동의 업무빈도에 대한 신뢰성을 나타낸다.이는 설계특성 및 정비성에 영향을 주고,수리업무에 소요되는 총시간을 정비활동의 총 행위 수로 나눈 값이다.",KIMA,ILS 개발 실무참고서,운영유지
16191,평균 수면,기타,,☞ 평균 해수면(平均海水面),국방과학기술용어,국방과학기술용어사전,기타
16192,평균 수위,기타,Mean Water Level,하천의 수위 중에서 어떤 기간 중에 관측 수위의 합계를 그 관측 횟수로 나눈 값. 평균수면이라고도 한다.,국방과학기술용어,국방과학기술용어사전,기타
16193,평균 임금,사업/계약관리,Average Wage,평균 임금이라 함은 이를 산정하여야 할 사유가 발생한 날 이전 3월 간에 그 근로자에 대하여 지급된 임금의 총액을 그 기간의 총 일수로 나눈 금액을 말하며 취업 후 3월 미만도 이에 준한다.  위와 같이 산출된 금액이 당해 근로자의 통상 임금보다 저액일 경우에는 그 통상 임금액으로 한다.,과학기술용어사전+KIMA,국방획득 원가 및 계약실무,원가관리
16194,평균 저수위,기타,Mean Low Water Level,어느 기간동안 날마다 일어나는 저조 간격의 평균치.,국방과학기술용어,국방과학기술용어사전,기타
16195,평균 저조 간격,기타,Mean Low Water Interval,어느 기간 동안 날마다 일어나는 바다의 저조 간격의 평균치.,국방과학기술용어,국방과학기술용어사전,기타
16196,평균 저조면,기타,Low Water Ordinary Mean Tide,바다에서 평균 해수면을 넘지 않는 저조면의 평균치. 대조 평균 저조면과 소조 평균 저조면이 있다.,국방과학기술용어,국방과학기술용어사전,기타
16197,평균 전력,기타,Mean Power,정상 동작 상태에서 송신기에 의해 안테나 전송선에 공급되는 전력으로서 변조에 사용되는 최저 주파수의 주기에 비해 충분히 긴 시간에 걸쳐 평균된 전력.,국방과학기술용어,국방과학기술용어사전,기타
16198,평균 정비 시간,기타,Mean Time To Repair,"정비성 특성치의 하나로, 규정된 조건하에서 특정한 주기기간 동안 어느 특정한 수리 수준에서의 품목의 고장정비 시간의 합을 총 고장 정비행위 수로 나눈 값. ☜ MTTR(Mean Time To Repair)",국방과학기술용어,국방과학기술용어사전,기타
16199,평균 정비 조치 간 시간,행정공통,Mean Time Between Maintenance Actions,품목을 규정된 조건으로 복구하는 데 혹은 유지하기 위해 요구되는 활동들 간의 시간 간격에 대한 분포의 평균치이다. ☞ MTBMA(Mean Time Between Maintenance Actions),과학기술용어사전,기술지원,운영유지
16200,평균 정비간 시간,기타,,☞ 정비간 평균 시간(整備間平均時間),국방과학기술용어,국방과학기술용어사전,기타
16201,평균 제곱근 오차,기타,Root Mean Square Error,관측값의 불일치도를 나타내기 위해 오차의 제곱을 산술 평균한 값의 제곱근. ☜ RMSE(Root Mean Square Error),국방과학기술용어,국방과학기술용어사전,기타
16202,평균 창정비 주기,행정공통,Time Between Overhaul,장비의 창 재생 이후 차기 창 재생을 위해 입고되기까지의 사용 시간으로서 최대 작동 시간(MOT)과 비교하여 장비의 품질 상태를 판단케 하는 가장 기본적인 지시치로서 활용된다. ☞ TBO,과학기술용어사전+국방부군수전력용어사전,,운영유지
16203,평균 최고 수위,기타,Normal High Water Level,"하천의 수위 중에서 어떤 기간 중 연 또는 월의 최고수위의 평균값. 제방의 축설, 교량의 가설, 배수 등의 치수 목적에 이용된다. ☜ NHWL(Normal High Water Level)",국방과학기술용어,국방과학기술용어사전,기타
16204,평균 최저 수위,기타,Normal Low Water Level,"하천의 수위 중에서 어떤 기간 중 연 또는 월의 최저수위의 평균값. 수력 발전, 관개 등의 이수 목적에 이용된다. ☜ NLWL(Normal Low Water L evel)",국방과학기술용어,국방과학기술용어사전,기타
16205,평균 캠버 선,기타,Mean Camber Line,에어포일의 윗면과 아랫면의 중점을 앞전에서부터 뒷전까지 연결하여 얻는 가상의 선.,국방과학기술용어,국방과학기술용어사전,기타
16206,평균 탄착점,기타,Mean Point Of Impact,주어진 조건 하에서 동일 조준점으로 발사 또는 투사된 모든 탄착점 간의 기하학적 중심점.,국방과학기술용어,국방과학기술용어사전,기타
16207,평균 해면 고도,기타,Mean Sea Level,"조석, 파랑 등에 의한 해면의 높, 낮음을 장기간에 걸쳐 평균한 수면을 말함. 해발 고도를 나타내는 기준이 되는 면임. 우리나라에서는 보통 인천만의 평균 해면을 표준으로 함. ☜ MSL(Mean Sea Level)",국방과학기술용어,국방과학기술용어사전,기타
16208,평균 해수면,기타,Mean Sea Level,"여러 해동안 관측한 해수면의 평균값. 해수면의 높이는 달과 태양의 천문조뿐만 아니라 기압, 바람, 해수의 온도, 해류 등의 기상조와 전 세계적인 규모로 일어나는 해수면 변화 등에 의하여 끊임없이 변동하기 때문에 될 수 있는 대로 장기간에 걸쳐 조위 관측을 하여야 한다. 우리 나라에서는 1913년 12월부터 1916년 12월까지의 2년 7개월간 인천만의 조위관측 결과를 평균하여 이를 육지 높이의 기준면으로 사용하고 있다. ☜ MSL (Mean Sea Level),",국방과학기술용어,국방과학기술용어사전,기타
16209,평균수리간시간,기타,Mean Time Between Repair / Mean Time To Repair,"수리 가능한 장비에 대한 정비성 특성치로 수리 활동의 업무 빈도에 대한 신뢰성을 나타내고, 설계 특성 및 정비성에 영향을 준다. 수리 업무에 소요되는 총 시간을 정비 활동의 총 행위 수로 나눈 값이다. 수리간 평균 시간이라고도 한다. ☜ 수리간 평균 시간(修理間平均時間), MTTR",국방과학기술용어,국방과학기술용어사전,기타
16210,평균치 검파기,기타,Average Detector,인가된 신호 포락선의 평균치가 출력전압으로 나타나는 검파기.,국방과학기술용어,국방과학기술용어사전,기타
16211,평면 위치 지시기,기타,Plane Position Indicator,레이더의 표적 반사 신호를 해당 거리 및 방위각 위치에 전시하는 음극 선관 장치. 표적 영상의 진폭 크기에 비례하여 화면의 휘도가 결정되며 전자빔은 음극 선관의 중심으로부터 바깥 가장자리의 방향으로 소인되면서 안테나의 위치에 동기되어 회전한다. ☜ PPI(Plane Position Indicator),국방과학기술용어,국방과학기술용어사전,기타
16212,평면 직교 좌표,기타,Plane Rectangular Coordinates,"평면상 한 점의 위치를 표시하는 데 좌표계의 일종. 적당한 한 점을 원점으로 정하고 그 원점을 지나는 자오선을 X축, 동서 방향을 Y축으로 한다. 우리나라는 북위 38˚상에 동경 125˚부터 131˚까지 2˚ 간격으로 서부, 중부, 동부, 동해 원점 등 4개의 원점을 사용한다.평방 인치(平方Inch) [비무기체계] Square Inch 1인치=2.54Cm이고 평방 인치는 가로 2.54Cm 세로2.54Cm의 넓이. ☜ SI(Square Inch)",국방과학기술용어,국방과학기술용어사전,기타
16213,평방 피트,기타,Square Feet,1feet=12inch=12*2.54Cm=30.48Cm. 1평방 피트는 가로 30.48Cm와 세로 30.48Cm의 넓이. ☜ SF (Square Feet),국방과학기술용어,국방과학기술용어사전,기타
16214,평베어링,기타,Plane Bearing,축과 베어링의 면이 직접 접촉하여 접동마찰의 상태로 작동하는 베어링. 메탈베어링과 같이 두개로 쪼개진 형식과 부싱과 같이 쪼개지지 않은 형식이 있다.,국방과학기술용어,국방과학기술용어사전,기타
16215,평사포,기타,Plane Fire Gun,"포신의 길이가 구경의 30~50배에 달하는 비교적 긴 포신을 가진 포. 직사포라고도 하며 긴 포신으로 인해 발사된 탄환이 탄도곡선이 낮은 평사탄도를 날게 되고, 초속이 빠른 특징을 가지고 있다. ☜ PFG(Plane Fire Gun)",국방과학기술용어,국방과학기술용어사전,기타
16216,평상시,기타,Peacetime,교전 당사 국가의 국가 수반인 대통령(또는 주석)간에 상호 평화 조약을 조인함으로써 휴전과 더불어 평화 상태로 대체되어 전쟁 행위가 금지된 종전 상태. ☜ 평시(平時),국방과학기술용어,국방과학기술용어사전,기타
16217,평시,기타,,☞ 평상시(平常時),국방과학기술용어,국방과학기술용어사전,기타
16218,평시 군 물자 소요,기타,Peacetime Force Materiel Requirement,군대에서 평시에 필요로 하거나 요구되는 물자.☜ PTFMR(Peacetime Force Materiel Requirem- -ent),국방과학기술용어,국방과학기술용어사전,기타
16219,평시 봉쇄,기타,Peace Blockade,평상시에 한 나라가 해군력을 이용하여 다른 나라의 해안을 막아 함정의 출입을 차단하는 일.,국방과학기술용어,국방과학기술용어사전,기타
16220,평시 운용 예비 부품,행정공통,Peace Time Spare Parts,"평시 항공기 가동율을 유지하며 훈련 시 사용하는 예비 부품이고, 전시가 되면 운용 수준에 비례하여 추가 조달이 이루어지는 부품을 말한다. ☞ PTSP",과학기술용어사전+국방부군수전력용어사전,,운영유지
16221,평시 운용 재고,기타,Peacetime Operating Stock,"1개 특정 품목의 현 보유량과 주문 중에 있는 양의 합계량의 일부분으로서, 이는 평시 군 물자 소요량을 총족시키기 위하여 지정된 수량.",국방과학기술용어,국방과학기술용어사전,기타
16222,평시 저장 인가 품목,행정공통,,"청구 목표 설정 품목을 말하며, 평시 저장 비인가 품목은 청구 목표 미 설정 품목을 말한다.",과학기술용어사전+국방부군수전력용어사전,,운영유지
16223,평정 작전,기타,Pacification Operation,대유격 작전시 타격 작전 성공후 민간 행정 기관이 제기능을 수행할 수 있도록 군이 지원하는 작전.,국방과학기술용어,국방과학기술용어사전,기타
16224,평탄도,기타,,포물선을 그리는 탄도가 얼마나 더 직선에 가깝느냐는 개념.,국방과학기술용어,국방과학기술용어사전,기타
16225,평행 사향속,기타,Parallel Sheaf,모든 포가 분포된 대로 동일 편각과 사각으로 사격함에 따라 형성되는 횡적 파열분포.,국방과학기술용어,국방과학기술용어사전,기타
16226,평행 장주,기타,Parallel Pattern,"탐색 구역이 크고 평지일 때와 목표의 위치를 대략적으로 알고 있을 때나, 일정한 모양의 탐색이 요구될 때 적용하는 장주 형태.",국방과학기술용어,국방과학기술용어사전,기타
16227,평형 지휘 계통,기타,Parallel Chains Of Command,해군 및 상륙군 임무의 상호 관련성에 부응하는 평형 조직으로서 상륙 작전 계획 수립 및 실시의 협조를 용이하게 하는 양 부대의 각 예하 부대에 상응하는 지휘관이 있게 함.,국방과학기술용어,국방과학기술용어사전,기타
16228,평화 강제 작전,기타,Peace Enforcement Operations,분쟁 당사자들에게 분쟁 해소를 위한 중재안이나 결정에 따르도록 강요하기 위해 무력 혹은 무력 사용의 위협을 행사하는 군사활동.,국방과학기술용어,국방과학기술용어사전,기타
16229,평화 유지 활동,기타,Peace Keeping Operations,"(1) 특히, 적대적인 국가 혹은 단체 간에 정전 유지를 국제적인 군사력에 의하여 평화를 유지하는 활동. (2) 휴전, 정전 등 합의사항을 이행하게 하고 이를 감시하며, 장기적인 정치적 안정에 도달하게 외교적인 노력을 지원하기 위하여, 분쟁의 주요 당사자들의 동의하에 이루어지는 군사작전. (3) 분쟁이 발생되어 분쟁 당사자 간의 자체 해결이 곤란하고, 분쟁상황이 국제 평화와 안전 유지에 위협이 될 것으로 인정되는 경우, 분쟁 당사자의 동의하에 유엔 주도. ☜ PKO(Peace Kee- -ping Operations)",국방과학기술용어,국방과학기술용어사전,기타
16230,평화에 대한 죄,기타,Crime Against The Peace,국제법을 어기고 전쟁을 일으켜 평화를 파괴함으로써 성립하는 전쟁 범죄.,국방과학기술용어,국방과학기술용어사전,기타
16231,폐검증,행정공통,,"경제적 수리 한계가 초과되고 정비 및 재생 가치가 없는 물자를 폐품으로 판정하는 것을 말한다. 폐검정은 폐처리 전에 이루어지며 다음과 같은 두 가지 형태로 구분한다.  1. 폐장비 검정은 장비를 검사하여 경제적 수리한계가 초과되고 정비 및 재생가치가 없을 때 폐장비로 판정하는 것이다.  2. 폐품 검정은 부분품 또는 결합체, 기타 물자(장비 제외)를 검사하여 경제적 수리한계가 초과되고 정비 및 재생 가치가 없을 때 폐품으로 판정하는 것이다.",과학기술용어사전+국방부군수전력용어사전,,운영유지
16232,폐기,행정공통,Abolition,"폐지하여 버림을 뜻한다. 불용의 결정을 한 군수품을 매각하는 것이 국가에 불리, 부적당하다고 인정되거나 또는 매각할 수 없는 군수품이 있을 때 취하는 처분의 형태이다.",국방부군수전력용어사전+과학기술용어사전,,운영유지
16233,폐기 및 퇴역 비용,행정공통,Disposal And Retirement Cost,폐기 비용은 무기체계를 폐기할 때 소요되는 비용과 남은 수리부속품을 처분하는 데 드는 비용을 포함한다. 운영유지 비용에 시스템 퇴역 및 폐기 비용을 포함하는 경우도 있다.,과학기술용어사전+국방부군수전력용어사전,,운영유지
